"property","status","value","expected","restored","hiddenExpected","hiddenRestored","captureMs","detail"
"-webkit-text-stroke-width","preserved","24px","24px","24px","24px","24px","6",""
"-webkit-text-zoom","untested","","","","","","",""
"-webkit-touch-callout","unsupported","","","","","","",""
"-webkit-user-drag","preserved","none","none","none","none","none","8",""
"-webkit-user-modify","preserved","read-write","read-write","read-write","read-write","read-write","4",""
"-webkit-user-select","native","","","","","","",""
"accent-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","11",""
"align-content","preserved","center","center","center","center","center","10",""
"align-items","preserved","stretch","stretch","stretch","stretch","stretch","10",""
"align-self","preserved","normal","normal","normal","normal","normal","18",""
"align-tracks","unsupported","","","","","","",""
"alignment-baseline","preserved","alphabetic","alphabetic","alphabetic","alphabetic","alphabetic","14",""
"all","untested","","","","","","",""
"anchor-name","preserved","--pc-example","--pc-example","--pc-example","--pc-example","--pc-example","8",""
"anchor-scope","preserved","all","all","all","all","all","11",""
"animation","native","","","","","","",""
"animation-composition","native","","","","","","",""
"animation-delay","native","","","","","","",""
"animation-direction","native","","","","","","",""
"animation-duration","native","","","","","","",""
"animation-fill-mode","native","","","","","","",""
"animation-iteration-count","native","","","","","","",""
"animation-name","native","","","","","","",""
"animation-play-state","native","","","","","","",""
"animation-range","native","","","","","","",""
"animation-range-end","native","","","","","","",""
"animation-range-start","native","","","","","","",""
"animation-timeline","native","","","","","","",""
"animation-timing-function","native","","","","","","",""
"animation-trigger","unsupported","","","","","","",""
"appearance","preserved","auto","auto","auto","auto","auto","10",""
"aspect-ratio","preserved","2","2 / 1","2 / 1","2 / 1","2 / 1","6",""
"backdrop-filter","preserved","blur(2px)","blur(2px)","blur(2px)","blur(2px)","blur(2px)","11",""
"backface-visibility","preserved","hidden","hidden","hidden","hidden","hidden","6",""
"background","preserved","linear-gradient(red,blue)","rgba(0, 0, 0, 0) linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) repeat scroll 0% 0% / auto padding-box border-box","rgba(0, 0, 0, 0) linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) repeat scroll 0% 0% / auto padding-box border-box","rgba(0, 0, 0, 0) linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) repeat scroll 0% 0% / auto padding-box border-box","rgba(0, 0, 0, 0) linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) repeat scroll 0% 0% / auto padding-box border-box","15",""
"background-attachment","preserved","fixed","fixed","fixed","fixed","fixed","8",""
"background-blend-mode","preserved","multiply","multiply","multiply","multiply","multiply","13",""
"background-clip","preserved","content-box","content-box","content-box","content-box","content-box","12",""
"background-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","7",""
"background-image","preserved","linear-gradient(red, blue)","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","9",""
"background-origin","preserved","content-box","content-box","content-box","content-box","content-box","5",""
"background-position","preserved","24px","24px 50%","24px 50%","24px 50%","24px 50%","10",""
"background-position-x","preserved","center","50%","50%","50%","50%","9",""
"background-position-y","preserved","center","50%","50%","50%","50%","8",""
"background-repeat","preserved","repeat-x","repeat-x","repeat-x","repeat-x","repeat-x","11",""
