"property","status","value","expected","restored","hiddenExpected","hiddenRestored","captureMs","detail"
"-webkit-box-ordinal-group","preserved","2","2","2","2","2","34.9",""
"-webkit-box-orient","untested","","","","","","",""
"-webkit-box-pack","preserved","center","center","center","center","center","35.7",""
"-webkit-box-reflect","preserved","above","above 0px none","above 0px none","above 0px none","above 0px none","356.4",""
"-webkit-font-smoothing","preserved","none","none","none","none","none","35.5",""
"-webkit-line-break","preserved","normal","normal","normal","normal","normal","30.4",""
"-webkit-line-clamp","preserved","2","2","2","2","2","17.5",""
"-webkit-locale","preserved","auto","auto","auto","auto","auto","20.9",""
"-webkit-mask","preserved","padding","padding-box","padding-box","padding-box","padding-box","50.9",""
"-webkit-mask-attachment","unsupported","","","","","","",""
"-webkit-mask-box-image","preserved","linear-gradient(red, blue)","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 0 fill / auto / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 0 fill / auto / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 0 fill / auto / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 0 fill / auto / 0 stretch","63.8",""
"-webkit-mask-box-image-outset","preserved","24px","24px","24px","24px","24px","28.9",""
"-webkit-mask-box-image-repeat","preserved","round","round","round","round","round","17.9",""
"-webkit-mask-box-image-slice","preserved","25%","25%","25%","25%","25%","21.5",""
"-webkit-mask-box-image-source","preserved","linear-gradient(red, blue)","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","13.9",""
"-webkit-mask-box-image-width","preserved","24px","24px","24px","24px","24px","22",""
"-webkit-mask-clip","preserved","padding","padding-box","padding-box","padding-box","padding-box","37",""
"-webkit-mask-composite","preserved","xor","xor","xor","xor","xor","156.9",""
"-webkit-mask-image","preserved","linear-gradient(red, blue)","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","102",""
"-webkit-mask-origin","preserved","padding","padding-box","padding-box","padding-box","padding-box","43.4",""
"-webkit-mask-position","preserved","24px","24px 50%","24px 50%","24px 50%","24px 50%","1072.7",""
"-webkit-mask-position-x","preserved","center","50%","50%","50%","50%","101.2",""
"-webkit-mask-position-y","preserved","center","50%","50%","50%","50%","25.1",""
"-webkit-mask-repeat","preserved","repeat-x","repeat-x","repeat-x","repeat-x","repeat-x","31.4",""
"-webkit-mask-repeat-x","unsupported","","","","","","",""
"-webkit-mask-repeat-y","unsupported","","","","","","",""
"-webkit-mask-size","preserved","24px","24px","24px","24px","24px","35.1",""
"-webkit-overflow-scrolling","unsupported","","","","","","",""
"-webkit-rtl-ordering","untested","","","","","","",""
"-webkit-ruby-position","untested","","","","","","",""
"-webkit-tap-highlight-color","native","","","","","","",""
"-webkit-text-combine","untested","","","","","","",""
"-webkit-text-decorations-in-effect","untested","","","","","","",""
